Series Name,Series Code,Country Name,Country Code,2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Brazil,BRA,2.92036301775519,3.07747511847801,2.92511944951586,2.43439003623188,2.17532666666667,1.94705833333333,1.83376666666667,1.99942817314426,1.75922671058718,1.67282875525659,1.95306861112487,2.15608915126311,2.35295196276677,3.32799033755475,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Brunei Darussalam,BRN,1.79058833333333,1.74218333333333,1.69022833333333,1.6643975,1.58893333333333,1.50710166666667,1.41716666666667,1.4545692733233,1.36350947368421,1.25791302014692,1.24956701649958,1.25116566976059,1.2670401230814,1.37491084459887,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Bulgaria,BGR,2.076975,1.73270166666667,1.57510891666667,1.57413333333333,1.55926666666667,1.42905,1.33711666666667,1.40669166666667,1.47739166666667,1.40645833333333,1.52205,1.47356666666667,1.47418333333333,1.7644,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Burkina Faso,BFA,696.988203611667,581.200313864167,528.284809305,527.46814284,522.890109610833,479.2667825875,447.805255560773,472.186290754893,495.277021572396,471.8661140917,510.52713590197,494.04003744699,494.414952864937,591.449507501328,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Burundi,BDI,930.749166666667,1082.62,1100.9,1081.57716666667,1028.683553,1081.8696825,1185.69083333333,1230.17916666667,1230.74833333333,1261.07333333333,1442.505625,1555.09083333333,1546.68666666667,1571.89833333333,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Cabo Verde,CPV,117.167572283333,97.7029875583333,88.80759855,88.6703124,87.9007196916667,80.567397125,75.2785404084208,79.3771272835597,83.2588068559191,79.3233038154814,85.8224354277952,83.0508629822985,83.1138883378279,99.4259337001836,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Cambodia,KHM,3912.08333333333,3973.33333333333,4016.25,4092.5,4103.25,4056.16666666667,4054.16666666667,4139.33333333333,4184.91666666667,4058.5,4033,4027.25,4037.5,4067.75,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Cameroon,CMR,696.988203611667,581.200313864167,528.284809305,527.46814284,522.890109610833,479.2667825875,447.805255560773,472.186290754893,495.277021572396,471.8661140917,510.52713590197,494.04003744699,494.414952864937,591.449507501328,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Canada,CAN,1.56931833333333,1.40105166666667,1.30101916666667,1.21176333333333,1.13436333333333,1.07409916666667,1.06704,1.14310055659983,1.03016278295376,0.989530691879357,0.999188309722613,1.02979656989696,1.10610494395711,1.2790978956229,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Central African Republic,CAF,696.988203611667,581.200313864167,528.284809305,527.46814284,522.890109610833,479.2667825875,447.805255560773,472.186290754893,495.277021572396,471.8661140917,510.52713590197,494.04003744699,494.414952864937,591.449507501328,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Chad,TCD,696.988203611667,581.200313864167,528.284809305,527.46814284,522.890109610833,479.2667825875,447.805255560773,472.186290754893,495.277021572396,471.8661140917,510.52713590197,494.04003744699,494.414952864937,591.449507501328,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Chile,CHL,688.936666666667,691.3975,609.529166666667,559.7675,530.275,522.464166666667,522.461035833333,560.85989484127,510.249166666667,483.6675,486.471303391053,495.272877645503,570.34821612744,654.124084254196,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,China,CHN,8.2769575,8.27703666666667,8.27680083333333,8.19431666666667,7.97343833333333,7.6075325,6.948655,6.83141605176666,6.7702690287094,6.46146132655007,6.31233282683186,6.19575834608231,6.14343409448867,6.22748867298455,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Colombia,COL,2504.24133083333,2877.65245833333,2628.6129025,2320.83417666667,2361.1394075,2078.29183666667,1967.71130916667,2158.25590299025,1898.56963600842,1848.13946995183,1796.895912311,1868.7853270908,2001.781048176,2741.88085479965,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,Comoros,COM,522.741418346667,435.900456906667,396.21380832,395.60130816,392.167781493333,359.4502696,335.854112339258,354.139898027009,371.457954940535,355.122042650575,382.817878554166,370.54858624767,370.838235790033,443.640087115004,..
"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,"Congo, Dem. Rep.",ZAR,346.687933885133,405.397451746029,399.475791666667,473.908008333333,468.278825,516.749891666667,559.292508333333,809.785833333333,905.913458333333,919.4913,919.755408333333,919.792774021548,925.226282531997,925.984961280393,..
